ticker,name,listed,asset_class,country,datasource,datasource_ticker
AUDUSD=X,AUD/USD,TRUE,currency,n/a,yfinance,AUDUSD=X
AUDCHF=X,AUD/CHF,TRUE,currency,n/a,yfinance,AUDCHF=X
AUDNZD=X,AUD/NZD,TRUE,currency,n/a,yfinance,AUDNZD=X
AUDEUR=X,AUD/EUR,TRUE,currency,n/a,yfinance,AUDEUR=X
AUDTWD=X,AUD/TWD,TRUE,currency,n/a,yfinance,AUDTWD=X
AUDMXN=X,AUD/MXN,TRUE,currency,n/a,yfinance,AUDMXN=X
AUDJPY=X,AUD/JPY,TRUE,currency,n/a,yfinance,AUDJPY=X
NZDJPY=X,NZD/JPY,TRUE,currency,n/a,yfinance,NZDJPY=X
EURXAF=X,EUR/XAF,TRUE,currency,n/a,yfinance,EURXAF=X
EURPEN=X,EUR/PEN,TRUE,currency,n/a,yfinance,EURPEN=X
EURBDT=X,EUR/BDT,TRUE,currency,n/a,yfinance,EURBDT=X
CAD=X,USD/CAD,TRUE,currency,n/a,yfinance,CAD=X
AZNUSD=X,AZN/USD,TRUE,currency,n/a,yfinance,AZNUSD=X
AZNCHF=X,AZN/CHF,TRUE,currency,n/a,yfinance,AZNCHF=X
AUDSCR=X,AUD/SCR,TRUE,currency,n/a,yfinance,AUDSCR=X
AUDMOP=X,AUD/MOP,TRUE,currency,n/a,yfinance,AUDMOP=X
AUDKRW=X,AUD/KRW,TRUE,currency,n/a,yfinance,AUDKRW=X
AUDHNL=X,AUD/HNL,TRUE,currency,n/a,yfinance,AUDHNL=X
AUDGIP=X,AUD/GIP,TRUE,currency,n/a,yfinance,AUDGIP=X
AUDGBP=X,AUD/GBP,TRUE,currency,n/a,yfinance,AUDGBP=X
AUDCZK=X,AUD/CZK,TRUE,currency,n/a,yfinance,AUDCZK=X
AUDCLP=X,AUD/CLP,TRUE,currency,n/a,yfinance,AUDCLP=X
AUDCAD=X,AUD/CAD,TRUE,currency,n/a,yfinance,AUDCAD=X
ARSKRW=X,ARS/KRW,TRUE,currency,n/a,yfinance,ARSKRW=X
ARSGBP=X,ARS/GBP,TRUE,currency,n/a,yfinance,ARSGBP=X
ALLGBP=X,ALL/GBP,TRUE,currency,n/a,yfinance,ALLGBP=X
AEDTWD=X,AED/TWD,TRUE,currency,n/a,yfinance,AEDTWD=X
AEDSEK=X,AED/SEK,TRUE,currency,n/a,yfinance,AEDSEK=X
AEDQAR=X,AED/QAR,TRUE,currency,n/a,yfinance,AEDQAR=X
AEDOMR=X,AED/OMR,TRUE,currency,n/a,yfinance,AEDOMR=X
AEDMXN=X,AED/MXN,TRUE,currency,n/a,yfinance,AEDMXN=X
AEDMAD=X,AED/MAD,TRUE,currency,n/a,yfinance,AEDMAD=X
AEDLTL=X,AED/LTL,TRUE,currency,n/a,yfinance,AEDLTL=X
AEDKWD=X,AED/KWD,TRUE,currency,n/a,yfinance,AEDKWD=X
AEDHKD=X,AED/HKD,TRUE,currency,n/a,yfinance,AEDHKD=X
AEDCNY=X,AED/CNY,TRUE,currency,n/a,yfinance,AEDCNY=X
AEDAUD=X,AED/AUD,TRUE,currency,n/a,yfinance,AEDAUD=X
AEDKRW=X,AED/KRW,TRUE,currency,n/a,yfinance,AEDKRW=X
XF000EURCOP7.SG,,TRUE,currency,n/a,yfinance,XF000EURCOP7.SG
AEDUSD=X,AED/USD,TRUE,currency,n/a,yfinance,AEDUSD=X
ARSCOP=X,ARS/COP,TRUE,currency,n/a,yfinance,ARSCOP=X
AUDRON=X,AUD/RON,TRUE,currency,n/a,yfinance,AUDRON=X
ARSUSD=X,ARS/USD,TRUE,currency,n/a,yfinance,ARSUSD=X
AEDISK=X,AED/ISK,TRUE,currency,n/a,yfinance,AEDISK=X
AEDLVL=X,AED/LVL,TRUE,currency,n/a,yfinance,AEDLVL=X
EURUYU=X,EUR/UYU,TRUE,currency,n/a,yfinance,EURUYU=X
EUR-BDT.F,EUR-BDT.F,TRUE,currency,n/a,yfinance,EUR-BDT.F
AEDPHP=X,AED/PHP,TRUE,currency,n/a,yfinance,AEDPHP=X
AEDCAD=X,AED/CAD,TRUE,currency,n/a,yfinance,AEDCAD=X
HU32.EX,,TRUE,currency,n/a,yfinance,HU32.EX
AUTIE.SW,,TRUE,currency,n/a,yfinance,AUTIE.SW
AUDBMD=X,AUD/BMD,TRUE,currency,n/a,yfinance,AUDBMD=X
ARSCLP=X,ARS/CLP,TRUE,currency,n/a,yfinance,ARSCLP=X
AWG=X,USD/AWG,TRUE,currency,n/a,yfinance,AWG=X
AUDVEF=X,AUD/VEF,TRUE,currency,n/a,yfinance,AUDVEF=X
ANGEUR=X,ANG/EUR,TRUE,currency,n/a,yfinance,ANGEUR=X
AEDSGD=X,AED/SGD,TRUE,currency,n/a,yfinance,AEDSGD=X
AEDKES=X,AED/KES,TRUE,currency,n/a,yfinance,AEDKES=X
AEDNZD=X,AED/NZD,TRUE,currency,n/a,yfinance,AEDNZD=X
ANGZAR=X,ANG/ZAR,TRUE,currency,n/a,yfinance,ANGZAR=X
EUR-TRY.F,EUR-TRY.F,TRUE,currency,n/a,yfinance,EUR-TRY.F
ARSHKD=X,ARS/HKD,TRUE,currency,n/a,yfinance,ARSHKD=X
HG12.EX,,TRUE,currency,n/a,yfinance,HG12.EX
AUDMAD=X,AUD/MAD,TRUE,currency,n/a,yfinance,AUDMAD=X
AUDTND=X,AUD/TND,TRUE,currency,n/a,yfinance,AUDTND=X
AUDMGA=X,AUD/MGA,TRUE,currency,n/a,yfinance,AUDMGA=X
AUD=X,USD/AUD,TRUE,currency,n/a,yfinance,AUD=X
AUDILS=X,AUD/ILS,TRUE,currency,n/a,yfinance,AUDILS=X
ARSMXN=X,ARS/MXN,TRUE,currency,n/a,yfinance,ARSMXN=X
AUDOMR=X,AUD/OMR,TRUE,currency,n/a,yfinance,AUDOMR=X
ARSVEF=X,ARS/VEF,TRUE,currency,n/a,yfinance,ARSVEF=X
AUDRUB=X,AUD/RUB,TRUE,currency,n/a,yfinance,AUDRUB=X
AUDLVL=X,AUD/LVL,TRUE,currency,n/a,yfinance,AUDLVL=X
AEDBHD=X,AED/BHD,TRUE,currency,n/a,yfinance,AEDBHD=X
EURJOD=X,EUR/JOD,TRUE,currency,n/a,yfinance,EURJOD=X
ALLEUR=X,ALL/EUR,TRUE,currency,n/a,yfinance,ALLEUR=X
881347.VI,881347.VI,TRUE,currency,n/a,yfinance,881347.VI
AUDBWP=X,AUD/BWP,TRUE,currency,n/a,yfinance,AUDBWP=X
AUBEZ.SW,,TRUE,currency,n/a,yfinance,AUBEZ.SW
AUDGHS=X,AUD/GHS,TRUE,currency,n/a,yfinance,AUDGHS=X
HF52.EX,HF52.EX,TRUE,currency,n/a,yfinance,HF52.EX
AUDCRC=X,AUD/CRC,TRUE,currency,n/a,yfinance,AUDCRC=X
ANGCHF=X,ANG/CHF,TRUE,currency,n/a,yfinance,ANGCHF=X
EUR-KZT.F,EUR-KZT.F,TRUE,currency,n/a,yfinance,EUR-KZT.F
AUDIDR=X,AUD/IDR,TRUE,currency,n/a,yfinance,AUDIDR=X
AUDQAR=X,AUD/QAR,TRUE,currency,n/a,yfinance,AUDQAR=X
AFN=X,USD/AFN,TRUE,currency,n/a,yfinance,AFN=X
EUR-PEN.F,EUR-PEN.F,TRUE,currency,n/a,yfinance,EUR-PEN.F
AUDSYP=X,AUD/SYP,TRUE,currency,n/a,yfinance,AUDSYP=X
AEDCZK=X,AED/CZK,TRUE,currency,n/a,yfinance,AEDCZK=X
ARSPYG=X,ARS/PYG,TRUE,currency,n/a,yfinance,ARSPYG=X
AEDNOK=X,AED/NOK,TRUE,currency,n/a,yfinance,AEDNOK=X
AUDPLN=X,AUD/PLN,TRUE,currency,n/a,yfinance,AUDPLN=X
EUR-MUR.F,EUR-MUR.F,TRUE,currency,n/a,yfinance,EUR-MUR.F
AUDINR=X,AUD/INR,TRUE,currency,n/a,yfinance,AUDINR=X
AEDTND=X,AED/TND,TRUE,currency,n/a,yfinance,AEDTND=X
AEDXDR=X,AED/XDR,TRUE,currency,n/a,yfinance,AEDXDR=X
AUDXCD=X,AUD/XCD,TRUE,currency,n/a,yfinance,AUDXCD=X
EUR-BWP.F,EUR-BWP.F,TRUE,currency,n/a,yfinance,EUR-BWP.F
HU42.EX,,TRUE,currency,n/a,yfinance,HU42.EX
EUR-COP.F,EUR-COP.F,TRUE,currency,n/a,yfinance,EUR-COP.F
AUDTTD=X,AUD/TTD,TRUE,currency,n/a,yfinance,AUDTTD=X
AUDANG=X,AUD/ANG,TRUE,currency,n/a,yfinance,AUDANG=X
AUDFJD=X,AUD/FJD,TRUE,currency,n/a,yfinance,AUDFJD=X
AEDPKR=X,AED/PKR,TRUE,currency,n/a,yfinance,AEDPKR=X
AUDEGP=X,AUD/EGP,TRUE,currency,n/a,yfinance,AUDEGP=X
ALLUSD=X,ALL/USD,TRUE,currency,n/a,yfinance,ALLUSD=X
AUDHKD=X,AUD/HKD,TRUE,currency,n/a,yfinance,AUDHKD=X
AUDKYD=X,AUD/KYD,TRUE,currency,n/a,yfinance,AUDKYD=X
AEDTRY=X,AED/TRY,TRUE,currency,n/a,yfinance,AEDTRY=X
AUDAV.SW,,TRUE,currency,n/a,yfinance,AUDAV.SW
AEDTHB=X,AED/THB,TRUE,currency,n/a,yfinance,AEDTHB=X
AEDRUB=X,AED/RUB,TRUE,currency,n/a,yfinance,AEDRUB=X
AUDBHD=X,AUD/BHD,TRUE,currency,n/a,yfinance,AUDBHD=X
AEDPLN=X,AED/PLN,TRUE,currency,n/a,yfinance,AEDPLN=X
EURKES=X,EUR/KES,TRUE,currency,n/a,yfinance,EURKES=X
AEDGBP=X,AED/GBP,TRUE,currency,n/a,yfinance,AEDGBP=X
HU22.EX,,TRUE,currency,n/a,yfinance,HU22.EX
AUDDOP=X,AUD/DOP,TRUE,currency,n/a,yfinance,AUDDOP=X
HU52.EX,,TRUE,currency,n/a,yfinance,HU52.EX
HF32.EX,,TRUE,currency,n/a,yfinance,HF32.EX
AUDSGD=X,AUD/SGD,TRUE,currency,n/a,yfinance,AUDSGD=X
EURBZD=X,EUR/BZD,TRUE,currency,n/a,yfinance,EURBZD=X
EUR-HRK.F,EUR/HRK,TRUE,currency,n/a,yfinance,EUR-HRK.F
EUR-LBP.F,EUR-LBP.F,TRUE,currency,n/a,yfinance,EUR-LBP.F
AUDUYU=X,AUD/UYU,TRUE,currency,n/a,yfinance,AUDUYU=X
AUDMUR=X,AUD/MUR,TRUE,currency,n/a,yfinance,AUDMUR=X
AUHOE.SW,,TRUE,currency,n/a,yfinance,AUHOE.SW
EUR-KES.F,EUR-KES.F,TRUE,currency,n/a,yfinance,EUR-KES.F
AEDILS=X,AED/ILS,TRUE,currency,n/a,yfinance,AEDILS=X
EURKZT=X,EUR/KZT,TRUE,currency,n/a,yfinance,EURKZT=X
AUDERN=X,AUD/ERN,TRUE,currency,n/a,yfinance,AUDERN=X
IACWE.NX,,TRUE,currency,n/a,yfinance,IACWE.NX
EURTRY=X,EUR/TRY,TRUE,currency,n/a,yfinance,EURTRY=X
AUDLTL=X,AUD/LTL,TRUE,currency,n/a,yfinance,AUDLTL=X
